Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,2,Graduate,Yes,B,M,C,C,1,Urban,N
Male,Yes,0,Graduate,No,B,C,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,D,B,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,F,A,B,C,1,Rural,Y
Female,No,0,Not Graduate,No,C,A,A,,0,Urban,N
Male,Yes,0,Graduate,No,B,B,B,C,1,Urban,Y
Male,Yes,1,Graduate,No,H,B,B,,0,Urban,N
Male,Yes,0,Graduate,No,K,A,A,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,E,B,C,1,Rural,Y
Female,No,1,Not Graduate,No,E,A,A,C,1,Rural,N
Male,Yes,2,Graduate,No,F,A,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,A,A,C,1,Rural,Y
Male,No,0,Not Graduate,No,C,A,A,B,1,Urban,Y
Female,No,1,Graduate,Yes,I,A,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,G,A,B,C,0,Rural,N
Male,No,0,Graduate,,K,A,E,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,D,A,B,C,1,Urban,Y
Female,,,Graduate,No,K,A,,B,1,Semiurban,Y
Male,No,0,Graduate,No,B,B,A,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,B,,C,1,Urban,Y
Male,No,0,Graduate,Yes,K,A,B,C,0,Urban,N
Female,Yes,0,Not Graduate,Yes,H,A,B,C,1,Rural,Y
Male,No,0,Graduate,No,D,F,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,H,B,B,C,1,Rural,Y
Male,No,3+,Not Graduate,No,E,B,B,C,1,Semiurban,Y
Male,No,1,Graduate,No,M,A,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,H,I,B,B,,Rural,Y
Male,Yes,1,Graduate,Yes,D,B,B,C,1,Rural,Y
Male,Yes,2,Not Graduate,No,E,A,B,C,1,Rural,Y
Male,Yes,0,Graduate,,D,B,A,C,1,Rural,N
Male,Yes,2,Graduate,No,D,B,B,C,0,Rural,N
Male,No,1,Not Graduate,Yes,C,B,B,C,,Semiurban,N
Male,Yes,2,Not Graduate,No,C,B,B,C,0,Rural,N
Male,Yes,2,Not Graduate,No,B,B,A,B,,Urban,Y
Male,Yes,0,Graduate,No,D,B,B,C,0,Rural,N
Male,Yes,0,Graduate,No,C,C,A,B,0,Rural,Y
Male,No,0,Graduate,Yes,H,A,A,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,D,A,A,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,E,A,B,C,1,Urban,Y
Male,Yes,0,Graduate,No,D,C,B,C,1,Urban,N
Male,No,2,Graduate,No,E,A,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,I,A,B,C,1,Semiurban,N
,Yes,0,Graduate,Yes,C,E,B,C,,Semiurban,Y
Male,Yes,3+,Graduate,No,H,A,B,B,1,Urban,Y
Male,Yes,0,Graduate,No,D,C,B,C,1,Rural,Y
Female,No,1,Not Graduate,,F,A,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,E,A,A,C,0,Semiurban,N
Male,No,0,Graduate,No,G,A,B,C,1,Rural,Y
Male,Yes,3+,Not Graduate,No,C,B,A,B,0,Urban,N
,Yes,0,Graduate,No,L,A,B,C,1,Semiurban,Y
Female,Yes,2,Not Graduate,,A,C,A,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,E,C,B,C,1,Urban,N
Male,Yes,1,Graduate,Yes,D,C,B,C,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,C,B,B,B,0,Rural,N
Male,Yes,3+,Graduate,No,E,A,B,C,1,Semiurban,Y
Female,No,0,Graduate,Yes,C,A,A,C,,Urban,Y
Male,No,2,Graduate,No,F,E,B,C,1,Rural,Y
Male,Yes,2,Graduate,Yes,L,B,B,C,1,Rural,Y
Male,Yes,2,Graduate,No,G,B,C,B,1,Semiurban,Y
,Yes,2,Graduate,No,C,B,B,C,0,Semiurban,N
Male,Yes,1,Graduate,Yes,L,C,A,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,C,B,,C,1,Urban,N
Female,No,0,Not Graduate,No,E,A,B,C,1,Rural,Y
Male,Yes,3+,Not Graduate,No,D,A,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,C,D,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,K,A,C,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,I,A,C,C,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,B,C,B,C,1,Rural,Y
Male,No,2,Graduate,No,D,A,A,C,0,Rural,N
Male,Yes,1,Graduate,No,L,A,F,C,1,Urban,N
Male,Yes,2,Graduate,Yes,E,C,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,C,A,A,C,1,Urban,N
Male,No,0,Not Graduate,No,C,C,A,C,,Semiurban,Y
Male,Yes,1,Not Graduate,No,F,B,B,C,,Urban,Y
Male,No,0,Not Graduate,No,D,A,B,C,1,Rural,Y
Female,No,0,Not Graduate,Yes,L,A,C,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,D,C,B,C,0,Rural,N
Female,Yes,1,Graduate,No,D,A,B,A,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,C,B,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,E,C,B,A,,Urban,Y
Male,Yes,1,Graduate,Yes,C,A,A,C,1,Semiurban,Y
